stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,platform_code,ObjectId,GlobalID,x,y
U7530Z2,Dolní nádraží,49.183292,16.615558,100,0,U7530N1,2\,,1,3298db20-d9b0-49ac-9704-fc70e0918f17,1849635.4558061,6306019.63237414
U1011Z2,Autobusové nádraží,49.186417,16.617622,100,0,U1011N2,2\,,2,68f78079-ac24-41c9-9d03-912bb6bdcd1c,1849865.2192351,6306551.85758857
U19012Z1,"Hodonín, STS",48.870733,17.116435,900,0,U19012N147,2\,,3,8e763c9c-41a7-406b-b129-1f9ce1bbf764,1905392.82839617,6252955.88447755
U1146Z33,Hlavní nádraží,49.19185,16.613617,100,0,U1146N3,2\,13,4,514f47ce-9e97-4ac5-9b85-d3dbe56ad2d0,1849419.38467447,6307477.243083
U1146Z31,Hlavní nádraží,49.191815,16.613991,100,0,U1146N3,2\,10,5,d42fd377-8ff2-416d-8e7a-9380359f0b36,1849461.01816403,6307471.28131984
U19002Z1,"Hodonín, Brněnská",48.862476,17.118758,900,0,U19002N146,2\,,6,c3a4f5c0-26d6-4661-90e7-daa437f04cd5,1905651.42357328,6251558.58290092
U7530Z1,Dolní nádraží,49.183149,16.615201,100,0,U7530N1,2\,,7,c3c24fc4-e19b-4c63-9277-177e54b67548,1849595.71474789,6305995.27855253
U15775Z2,"Hevlín, škola",48.751285,16.380187,570,0,U15775N4,2\,,8,9fd43094-867d-487f-8b9a-21b37775b978,1823434.0759386,6232764.5509663
U1696Z12,ÚAN Zvonařka,49.185364,16.616151,100,0,U1696N32,2\,26,9,a7845a23-f4b6-4668-b525-97feac5257c7,1849701.46826414,6306372.51522554
U16348Z1,"Klobouky u Brna, samoobsluha",48.995079,16.867518,640,0,U16348N160,2\,,10,809a9be4-3411-4a2f-9dda-085e2cebd7f0,1877683.51470638,6274026.44451225
U15773Z2,"Hevlín, cihelna",48.761387,16.38346,570,0,U15773N5,2\,,11,e6cabbf5-a676-4d14-afbd-8d0c7482d76d,1823798.42463197,6234470.3194758
U16343Z1,"Klobouky u Brna, Nádražní",48.994411,16.879339,640,0,U16343N159,2\,,12,103b893d-08c9-42f8-9432-42b948df4477,1878999.42240704,6273913.11084569
U15627Z2,Hrabětice,48.796862,16.395222,560,0,U15627N6,2\,,13,039a707e-1130-413f-82e1-7c40fdf2c3ee,1825107.76448268,6240463.15341618
U1696Z15,ÚAN Zvonařka,49.185475,16.617567,100,0,U1696N32,2\,4,14,1aa37e19-ccd9-41c6-af2e-829488b0cde1,1849859.09666311,6306391.42008101
U17337Z1,"Rousínov, rozc. k žel. st.",49.200012,16.873039,730,0,U17337N230,2\,,15,d88b74c1-1c09-4519-8fb4-05c172081f72,1878298.10961505,6308867.64145093
U15640Z2,"Šanov, u mostu",48.799235,16.386832,560,0,U15640N7,2\,,16,0666ddcd-50a7-4f87-88cd-c85e88fe5237,1824173.79395492,6240864.17831588
U1807Z1,Železniční,49.18274,16.619609,100,0,U1807N314,2\,,17,978cc180-07e1-47f1-931f-921ab1a4cc83,1850086.41106331,6305925.62360508
U15639Z2,"Šanov, požární zbrojnice",48.802143,16.373927,560,0,U15639N8,2\,,18,44c4e7a4-f929-4a8e-be8b-662b70796ffe,1822737.21592623,6241355.6413584
U15637Z2,"Hrušovany nad Jevišovkou, žel. st.",48.810465,16.38336,560,0,U15637N9,2\,,19,32fd8616-515e-46c3-af70-e44cd53c42e4,1823787.29268289,6242762.24843626
U1148Z1,Hněvkovského,49.169824,16.625975,101,0,U1148N315,1\,,20,44fd8639-539a-4184-9298-718742d1bbdc,1850795.0709417,6303726.25390909
U17335Z1,"Rousínov, autobusová stanice",49.202947,16.88534,730,0,U17335N211,2\,8,21,19297728-9577-447d-9f8b-2b485f9b39f1,1879667.45067129,6309367.67539233
U15628Z2,"Hrabětice, rozcestí",48.811255,16.39406,560,0,U15628N10,2\,,22,ef34a839-5d0f-4ddd-a95c-2b639901160b,1824978.41123437,6242895.78851763
U1511Z1,Popelova,49.156542,16.646787,101,0,U1511N316,2\,,23,ebf99781-3687-4c3a-bd49-d069de7254ad,1853111.85218409,6301465.1591035
U17423Z2,"Vyškov, Autobusové nádraží",49.275878,16.99145,740,0,U17423N203,2\,2,24,213d3efc-26fc-4947-af1f-0f97a7a1c49a,1891479.56183937,6321802.42370422
