Sloupec1;ZZ_ID;ZZ_kod;PCZ;PCDP;ZZ_nazev;ZZ_druh_kod;ZZ_druh_nazev;ZZ_druh_nazev_sekundarni;ZZ_misto_poskytovani_ID;ZZ_kraj_kod;ZZ_kraj_nazev;ZZ_okres_kod;ZZ_okres_nazev;ZZ_ORP_kod;ZZ_ORP_nazev;ZZ_obec;ZZ_spravni_obvod;ZZ_PSC;ZZ_ulice;ZZ_cislo_domovni_orientacni;ZZ_RUIAN_kod;ZZ_GPS;ZZ_datum_zahajeni_cinnosti;ZZ_obor_pece;ZZ_forma_pece;ZZ_druh_pece;ZZ_rozsah_pece;poskytovatel_druh;poskytovatel_nazev;poskytovatel_osoba_typ;poskytovatel_pravni_forma_kod;poskytovatel_pravni_forma_nazev;poskytovatel_sidlo_kraj_kod;poskytovatel_sidlo_kraj_nazev;poskytovatel_sidlo_okres_kod;poskytovatel_sidlo_okres_nazev;poskytovatel_sidlo_obec;poskytovatel_sidlo_PSC;poskytovatel_sidlo_ulice;poskytovatel_sidlo_cislo_domovni_orientacni;poskytovatel_sidlo_RUIAN_kod;poskytovatel_telefon;poskytovatel_fax;poskytovatel_email;poskytovatel_web;poskytovatel_datova_schranka;poskytovatel_odborny_zastupce;zrizovatel_typ;ZZ_obor_pece_strucne;latitude;longitude;ico_str;ulice_str;match_key;Pondělí;Úterý;Středa;Čtvrtek;Pátek;Sobota;Neděle
24426610;181104;2,44266E+13;0;0;MUDr. Tomáš Kovanda;324;Samostatná ordinace lékaře specialisty;;261201;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;61200;Bulharská;1320/29;19705611.0;POINT(49.226060532661 16.590980688573);28.01.2026;ortopedie a traumatologie pohybového ústrojí;ambulantní péče;;;Samostatná ordinace lékaře specialisty;MUDr. Tomáš Kovanda;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;61200;Bulharská;1320/29 ;19705611.0;;;;;wjdkfvz;;;Ortopedie;49.226060532661;16.590980688573;24426610;bulharská;24426610_bulharská;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23741431;181103;2,37414E+13;0;0;OPTIKA MAON Vyškov s.r.o.;523;Oční optika;;261198;CZ064;Jihomoravský kraj;CZ0646;Vyškov;6219;Vyškov;Vyškov;;68201;Purkyňova;235/36;13893670.0;POINT(49.27751356829 16.979920879488);29.01.2026;Optometrista;ambulantní péče;;;Oční optika;OPTIKA MAON Vyškov s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ072;Zlínský kraj;CZ0721;Kroměříž;Morkovice-Slížany;76833;Nádražní;535;13893670.0;;;;;pxud5kb;Ondřej Augusta;;Optometrista;49.27751356829;16.979920879488;23741431;purkyňova;23741431_purkyňova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
24419907;181102;2,44199E+13;0;0;MUDr. Monika Trnová Chudárková;324;Samostatná ordinace lékaře specialisty;;261195;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;61500;Viniční;4049/235;19660600.0;POINT(49.198676189054 16.656428622322);28.01.2026;cévní chirurgie;ambulantní péče;;;Samostatná ordinace lékaře specialisty;MUDr. Monika Trnová Chudárková;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;61500;Viniční;4049/235 ;19660600.0;;;;;;;;Chirurgie;49.198676189054;16.656428622322;24419907;viniční;24419907_viniční;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23459344;181077;2,34593E+13;0;0;Fyzioterapie Porta Resoluta s.r.o.;351;Samostatné zařízení fyzioterapeuta;;261163;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;61300;Provazníkova;1655/82;78970270.0;POINT(49.214674040212 16.629858028513);26.01.2026;Fyzioterapeut;ambulantní péče;;;Samostatné zařízení fyzioterapeuta;Fyzioterapie Porta Resoluta s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Brno;61300;Provazníkova;1655/82 ;78970270.0;;;;;xsbpfsj;Jana Bílá;;Fyzioterapie;49.214674040212;16.629858028513;23459344;provazníkova;23459344_provazníkova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
23751274;181075;2,37513E+13;0;0;Mgr. Karolína Hrochová;351;Samostatné zařízení fyzioterapeuta;;261158;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;61300;třída Generála Píky;2057/3b;87199564.0;POINT(49.216585774041 16.614617977594);23.01.2026;Fyzioterapeut;ambulantní péče;;;Samostatné zařízení fyzioterapeuta;Mgr. Karolína Hrochová;fyzická osoba;;;CZ072;Zlínský kraj;CZ0722;Uherské Hradiště;Uherský Brod;68801;Dolní;29;87199564.0;;;;;aksfq4r;;;Fyzioterapie;49.216585774041;16.614617977594;23751274;třída generála píky;23751274_třída generála píky;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
10822577;181069;1,08226E+13;1;0;AlphaLabs s.r.o.;320;Samost. ordinace všeob. prakt. lékaře;;261149;CZ064;Jihomoravský kraj;CZ0642;Brno-město;6203;Brno;Brno;;63900;Heršpická;788/9;19130431.0;POINT(49.17552568785 16.604089543838);19.01.2026;všeobecné praktické lékařství;ambulantní péče;;;Samost. ordinace všeob. prakt. lékaře;AlphaLabs s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ010;Hlavní město Praha;CZ0100;Hlavní město Praha;Praha 7;17000;Bubenské nábřeží;1594/6 ;19130431.0;;;valach@labs1503.cz;;6hjqpmq;MAREK DVOŘÁK;;Praktik;49.17552568785;16.604089543838;10822577;heršpická;10822577_heršpická;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
24336521;181065;2,43365E+13;0;0;MDDr. Marek Piršel;322;Samostatná ordinace PL - stomatologa;;261132;CZ064;Jihomoravský kraj;CZ0646;Vyškov;6219;Vyškov;Vyškov;;68201;Joklova;102/18;13913425.0;POINT(49.277200492787 17.0127122643);21.01.2026;zubní lékařství;ambulantní péče;;;Samostatná ordinace PL - stomatologa;MDDr. Marek Piršel;fyzická osoba;;;CZ064;Jihomoravský kraj;CZ0646;Vyškov;Vyškov;68201;Joklova;102/18 ;13913425.0;;;;;bqfc6jn;;;Zubař;49.277200492787;17.0127122643;24336521;joklova;24336521_joklova;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
24231045;181048;2,4231E+13;2;0;Centrum gynekologické péče Znojmo s.r.o.;323;Samostatná ordinace PL - gynekologa;;246316;CZ064;Jihomoravský kraj;CZ0647;Znojmo;6212;Moravský Krumlov;Miroslav;;67172;Malinovského;345/1;10824294.0;POINT(48.946668495432 16.316299225883);01.01.2025;gynekologie a porodnictví;ambulantní péče;;;Poskytovatel ambulantních služeb (pod 5 oborů);Centrum gynekologické péče Znojmo s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Praha 15;60200;Veveří;476/39 ;10824294.0;4,20515E+11;;vlasin@prenatal.cz;;fksk224;ŠÁRKA PAVKOVÁ;;Gynekologie;48.946668495432;16.316299225883;24231045;malinovského;24231045_malinovského;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
24231045;181047;2,4231E+13;0;3;Centrum gynekologické péče Znojmo s.r.o.;302;Centrum gynekologické péče;;243943;CZ064;Jihomoravský kraj;CZ0647;Znojmo;6220;Znojmo;Znojmo;;66902;Jana Palacha;1262/11;10993207.0;POINT(48.857779165903 16.053528698327);01.01.2025;gynekologie a porodnictví, radiologie a zobrazovací metody;ambulantní péče, primární ambulantní péče;;;Poskytovatel ambulantních služeb (pod 5 oborů);Centrum gynekologické péče Znojmo s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Praha 15;60200;Veveří;476/39 ;10993207.0;4,20515E+11;;vlasin@prenatal.cz;;fksk224;ŠÁRKA PAVKOVÁ;;Gynekologie;48.857779165903;16.053528698327;24231045;jana palacha;24231045_jana palacha;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
24231045;181046;2,4231E+13;0;0;Centrum gynekologické péče Znojmo s.r.o.;302;Centrum gynekologické péče;;260156;CZ064;Jihomoravský kraj;CZ0647;Znojmo;6220;Znojmo;Znojmo;;67181;Společná;345/1;26751640.0;POINT(48.833139882504 16.070071221934);08.01.2026;gynekologie a porodnictví, neonatologie, pediatrie;ambulantní péče, jednodenní péče;;;Poskytovatel ambulantních služeb (pod 5 oborů);Centrum gynekologické péče Znojmo s.r.o.;právnická osoba;112.0;Společnost s ručením omezeným;CZ064;Jihomoravský kraj;CZ0642;Brno-město;Praha 15;60200;Veveří;476/39 ;26751640.0;4,20515E+11;;vlasin@prenatal.cz;;fksk224;ŠÁRKA PAVKOVÁ;;Gynekologie;48.833139882504;16.070071221934;24231045;společná;24231045_společná;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena;neuvedena
